"Отметка времени","Ссылка на вашу страницу ВКонтакте","Я — душа компании","Я легко поддаюсь стрессу","Меня мало волнует судьба других","Я всегда подготавливаюсь заранее","У меня богатый словарный запас","Я не говорю много","Большую часть времени я расслаблен","Меня интересуют люди","Я забываю свои вещи","Мне трудно понимать абстрактные идеи","Я чувствую себя комфортно среди людей","Я беспокоюсь о разных вещах","Я оскорбляю людей","Я обращаю внимание на детали","У меня живое воображение","Я остаюсь в тени","Я редко чувствую себя подавленным","Я сочувствую другим","Я все порчу","Меня не интересуют абстрактные идеи","Я могу начать разговор","Меня легко вывести из себя","Меня не интересуют чужие проблемы","Я сразу же приступаю к выполнению домашних дел","У меня есть превосходные идеи","Я обычно не многословен","Меня легко расстроить","У меня мягкое сердце","Я часто забываю класть вещи на место","У меня не очень хорошее воображение","На вечеринках я общаюсь со многими разными людьми","У меня часто меняется настроение","Меня на самом деле не интересуют другие","Я люблю порядок","Я быстро все понимаю","Я не люблю привлекать к себе внимание","У меня часто происходят перепады настроения","Я уделяю время другим","Я уклоняюсь от своих обязанностей","Я использую сложные слова","Я не против быть в центре внимания","Я легко раздражаюсь","Я чувствую эмоции других","Я следую расписанию","Я провожу время, размышляя о различных вещах","Я веду себя тихо с незнакомыми людьми","Я часто чувствую себя подавленным","Я помогаю людям чувствовать себя непринужденно","Я требователен к своей работе","Я полон идей"
"2024/10/10 3:38:29 PM GMT+3","https://vk.com/n_i1ya","4","2","3","4","4","3","4","5","2","1","3","3","3","4","5","2","4","4","4","1","3","2","2","3","4","2","2","2","1","1","3","2","2","5","4","2","2","3","2","2","4","2","4","4","5","4","2","4","4","4"
"2024/10/10 3:48:38 PM GMT+3","https://vk.com/egor4ekx","3","3","2","3","4","3","5","5","4","2","3","4","1","4","5","3","2","5","2","1","4","3","2","1","5","3","4","5","5","1","3","4","2","4","4","3","4","4","2","4","4","3","5","2","5","4","2","2","4","5"
"2024/10/10 8:54:29 PM GMT+3","https://vk.com/de_fomin_7","4","1","5","3","4","5","5","5","1","1","5","2","1","5","3","2","5","4","1","1","5","1","4","3","5","3","1","3","1","4","4","1","2","5","4","1","1","3","1","2","5","1","5","4","4","1","1","3","5","5"
"2024/10/11 10:14:01 AM GMT+3","https://vk.com/s0phya","3","4","5","4","3","2","4","5","2","2","4","5","3","3","5","2","2","5","1","2","5","1","3","3","4","2","2","4","2","2","3","1","4","5","4","4","2","4","1","1","3","2","4","3","4","5","2","1","5","3"
"2024/10/11 11:09:54 AM GMT+3","https://vk.com/id127788765","4","1","3","2","4","2","4","5","1","2","4","2","2","3","4","2","5","3","1","3","4","2","3","2","3","4","1","2","2","4","4","2","2","4","5","2","1","4","1","3","4","2","5","4","4","4","2","3","4","3"
"2024/10/11 11:16:00 AM GMT+3","https://vk.com/skylazh","5","4","2","3","3","5","3","5","1","1","5","2","3","4","5","2","3","5","1","2","5","4","2","3","4","2","3","5","2","1","5","3","1","2","4","2","3","4","1","4","5","3","5","4","4","4","3","5","4","4"
"2024/10/11 12:06:56 PM GMT+3","https://vk.com/grikaa","4","5","2","5","4","2","1","4","4","5","3","5","2","2","3","3","3","5","1","3","4","5","2","5","3","3","5","5","1","3","3","5","1","5","3","3","5","4","1","4","4","5","5","5","5","3","2","4","5","2"
"2024/10/11 12:54:27 PM GMT+3","https://vk.com/id545960785","3","4","2","4","3","4","5","3","1","3","4","4","2","4","4","3","2","5","1","3","4","3","3","4","3","4","5","4","2","4","5","4","2","5","3","4","4","5","2","2","4","5","5","5","4","5","4","4","5","2"
"2024/10/11 12:55:22 PM GMT+3","https://vk.com/dasha.bespalova","4","1","5","3","4","5","5","4","3","2","5","3","1","4","4","2","5","5","5","2","5","1","4","3","4","4","3","5","2","2","3","3","4","5","4","4","2","4","3","3","3","2","5","4","2","5","1","4","4","4"
"2024/10/11 12:57:11 PM GMT+3","https://vk.com/id503430788","5","3","1","4","5","1","4","5","3","2","4","3","2","4","5","2","3","4","1","1","4","3","1","1","3","1","2","5","2","1","4","4","1","2","3","1","4","5","2","4","4","3","4","1","4","3","2","2","4","4"
"2024/10/11 12:57:40 PM GMT+3","https://vk.com/issssssssaeva","4","4","2","3","5","1","3","5","2","1","5","3","1","5","5","1","4","5","1","1","5","4","2","2","5","1","5","5","4","1","5","3","2","5","4","1","4","5","1","5","5","4","5","3","2","1","1","5","5","5"
"2024/10/11 12:58:20 PM GMT+3","https://vk.com/id350296643","1","3","5","4","3","5","3","1","2","5","1","5","3","1","2","5","1","3","1","3","4","3","5","4","4","5","5","1","1","3","1","1","5","5","3","5","3","1","1","3","5","3","3","1","5","5","5","1","5","3"
"2024/10/11 1:04:24 PM GMT+3","https://vk.com/rinkasa","4","5","3","5","3","2","1","5","2","1","5","5","4","5","4","1","2","5","1","1","5","2","1","2","4","1","3","3","1","2","5","3","1","5","5","2","3","5","1","1","4","4","5","4","4","4","4","5","5","2"
"2024/10/11 1:07:10 PM GMT+3","https://vk.com/dangeonmasster","5","2","4","4","4","3","3","3","1","1","3","2","5","4","5","2","4","3","2","2","5","2","5","4","5","3","2","2","2","1","5","1","4","3","5","1","2","4","2","4","5","3","4","4","4","2","2","3","5","5"
"2024/10/11 1:10:07 PM GMT+3","vk.com/id299038863","2","4","1","3","3","3","3","5","5","2","4","4","1","4","4","3","4","5","1","1","3","3","1","3","5","4","2","4","5","1","2","4","1","4","4","4","2","5","2","2","4","4","4","3","4","3","1","2","5","4"
"2024/10/11 2:29:58 PM GMT+3","https://vk.com/avortak","3","3","2","1","3","2","3","4","4","4","4","5","3","4","5","3","2","5","4","1","4","3","2","1","3","4","3","5","5","2","3","5","1","2","3","4","5","4","4","3","4","2","4","1","5","5","3","4","2","3"
"2024/10/11 2:32:51 PM GMT+3","https://vk.com/m.savich5","4","2","3","4","5","5","3","5","3","4","5","5","2","5","5","3","4","5","2","2","5","4","3","4","3","5","2","5","3","1","5","5","3","5","5","3","5","4","2","5","5","3","2","5","5","4","4","4","5","5"
"2024/10/11 2:34:24 PM GMT+3","https://vk.com/manzh3rok ","3","3","2","2","5","4","2","5","2","1","5","4","2","4","5","3","3","4","1","2","5","2","2","4","5","4","4","5","1","1","5","3","1","4","2","4","2","5","3","5","4","3","5","2","5","5","1","4","5","5"
"2024/10/11 2:35:23 PM GMT+3","https://vk.com/nirlena","3","5","2","3","4","2","1","5","4","2","4","5","3","4","5","1","1","5","2","2","4","5","1","2","4","2","5","5","1","1","5","5","2","5","1","1","5","5","3","2","5","5","5","4","5","5","5","5","4","4"
"2024/10/11 2:40:36 PM GMT+3","https://vk.com/alex__margo","4","3","2","3","2","3","3","4","4","2","3","4","2","4","5","3","2","5","3","2","3","3","2","2","4","3","4","4","4","1","3","3","2","4","3","2","3","4","3","2","3","3","4","2","4","4","4","4","5","5"
"2024/10/11 2:44:43 PM GMT+3","https://vk.com/tfhsbmew","3","3","3","3","3","3","3","3","2","3","3","3","3","4","3","4","4","4","2","3","4","4","3","1","3","3","3","3","4","4","3","3","4","2","3","3","4","3","1","3","4","4","3","2","4","4","3","3","4","3"
"2024/10/11 3:08:22 PM GMT+3","-","3","4","3","4","3","3","2","3","2","5","4","2","1","4","2","2","4","3","1","4","4","1","2","2","3","2","2","4","2","4","2","2","2","4","4","2","1","4","2","1","4","2","5","4","3","2","1","4","3","3"
"2024/10/11 3:08:38 PM GMT+3","vk.com/id_dreamange","2","5","4","3","5","1","2","2","2","3","2","4","2","4","5","1","2","2","2","3","2","5","4","3","4","1","5","2","1","1","1","5","4","5","4","3","5","3","2","5","4","5","2","3","3","5","4","2","5","4"
"2024/10/11 3:26:30 PM GMT+3","https://vk.com/id610361601","4","2","2","3","5","3","3","3","5","1","4","5","2","5","5","4","3","5","2","2","5","1","3","3","4","5","3","3","5","1","5","1","1","2","5","5","2","4","2","4","2","2","4","4","4","5","2","4","4","5"
