id,counters.followers,counters.pages,counters.photos,counters.videos,sex,counters.clips_followers,city.id,occupation.id
450344497,132.5,24,35.8,0,2,351.7,68,1652085
264457326,46,198,13,35,2,219,68,297
168229171,338,298,108,52,1,584,99,668
146449549,12,28,2,82,1,249,2,668
78066261,132.5,87,35.8,0,1,351.7,99,149306721
737944772,132.5,70,35.8,0,2,351.7,2,38079020.6
267085294,1001,114,8,0,1,1451,2,53
261186365,24,75,1,0,1,119,2,38079020.6
148164935,194,154,4,0,1,394,2,17
393529412,47,92,8,7,1,182,2,53
437212633,86,28,9,107,2,215,2,68
39757528,344,13,16,0,1,918,2,881
390906559,110,129,1,0,1,166,2,43443699
291181534,74,64,3,12,2,220,2,38079020.6
492556735,96,949,49,201,1,490,2,189502030
367053200,115,145,46,23,1,441,8542,396556
148145779,60,90,195,0,1,178,2,38079020.6
245526687,233,118,86,0,1,563,73,1170190
170729859,247,197,190,230,1,343,2,749
277676294,0,160,13,0,1,33,2,38079020.6
187561455,78,660,305,443,1,512,55,498
166185266,474,599,150,180,1,1136,55,221640863
610361601,0,7,0,1,2,42,2,38079020.6
720943907,1,10,20,0,2,31,2,38079020.6
163342945,104,165,3,3,1,413,112,221169581
463418320,210,73,9,511,1,378,378,454
595835622,34,44,4,4,1,162,2,477
611584004,0,96,46,57,1,62,68,653
299038863,3,70,15,59,2,163,95,20039
463073943,46,123,7,823,2,285,95,38079020.6
296687853,105,311,13,5,2,336,95,649
350296643,129,63,2,1,1,204,2,38079020.6
373006917,292,609,38,10,1,1480,95,180309468
503430788,7,218,5,1,2,146,431,99146
312726100,39,56,0,2,1,212,95,653
545960785,6,7,1,0,1,77,2,653
145926130,132.5,72,35.8,0,1,351.7,2,38079020.6
222437054,259,55,1,189,2,400,99,663
127788765,78,22,2,0,2,248,99,677
216776402,98,100,4,0,1,218,2,171730380
293813364,61,9,8,0,2,160,2,49
267526589,29,60,8,0,2,138,2,38079020.6
156470181,89,22,5,23,2,148,2,38079020.6
